id,title,date_recorded,duration,language_name,category,subcategories,thumbnail_url,audio_url,mp4_url,m3u8_url,speaker_name_first,speaker_name_last
360495, סעודת שבת בערב פסח שחל בשבת,2025-03-31,3232,Hebrew,Holidays,Pesach/Passover,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/360495/360495-su0gzr.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/360495/360495-su0djs.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/360495-su0djs.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/360495/su0djs/master.m3u8,Asher,Weiss
360231,שיעור בביהכ''נ אור אליהו רמב''ש ג': ערב פסח שחל בשבת,2025-03-30,3297,Hebrew,Holidays,Pesach/Passover,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/360231/360231-styjqm.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/360231/360231-stycq9.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/360231-stycq9.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/360231/stycq9/master.m3u8,Asher,Weiss
359933,Pardes Shlomo Daily: Parshas Pikudei,2025-03-28,295,English,Parasha/Torah Portion,Pekudei,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/359933/359933-sttskn.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/359933/359933-sttsko.mp3,,,Asher,Weiss
359841,"בעל שואל ומשיב זצ""ל: משנתו דרכו והשפעתו על עולם ההלכה",2025-03-27,3074,Hebrew,Eulogies/Hespedim,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/359841/359841-stu3lc.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/359841/359841-sttz5n.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/359841-sttz5n.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/359841/sttz5n/master.m3u8,Asher,Weiss
359411,שיעור במקסיקו במאור אברהם בנושא מצוות מצה,2025-03-26,3117,Hebrew,Holidays,Pesach/Passover,https://torahanytime.com/images/audio_player_thumb.svg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/359411/359411-stqg3s.mp3,,,Asher,Weiss
359478,שיעור במקסיקו בכתר תורה טקמצ'לקו בנושא דינא דמלכותא דינא,2025-03-26,2962,Hebrew,Jewish Understanding,,https://torahanytime.com/images/audio_player_thumb.svg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/359478/359478-stqn9w.mp3,,,Asher,Weiss
358356,מסר קצר: סמיכות גאולה לגאולה,2025-03-20,309,Hebrew,Jewish Understanding,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/358356/358356-stfqop.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/358356/358356-stfqef.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/358356-stfqef.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/358356/stfqef/master.m3u8,Asher,Weiss
357736,שואלין ודורשין בהלכות החג וקורבנות בזמנינו,2025-03-18,2523,Hebrew,Jewish Understanding,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/357736/357736-stbjb7.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/357736/357736-stbi86.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/357736-stbi86.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/357736/stbi86/master.m3u8,Asher,Weiss
357353,Short Thought on Purim & Current Events,2025-03-16,745,English,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/357353/357353-st7yq3.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/357353/357353-st7yju.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/357353-st7yju.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/357353/st7yju/master.m3u8,Asher,Weiss
357425,Hesped on Rav Nota Schiller ZTL,2025-03-16,493,English,Eulogies/Hespedim,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/357425/357425-st8flo.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/357425/357425-st8f0l.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp4/357425-st8f0l.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/357425/st8f0l/master.m3u8,Asher,Weiss
